path,kind,bytes,size,sha256
D:\Desktop\my_project\paper_reproduction\DPPO\reports\smoke_artifact_audit.json,file,747,747 B,16BD21AF23A7179C12348DA9F0298BDBBBBD836A0F9DDC82E952AC0830AF0581
D:\Desktop\my_project\paper_reproduction\DPPO\reports\final_local_check.json,file,2733,2.67 KiB,47D4CC73639D9F60CE262CEB1B02E5BCF204EBBC3868DE4C471154CE840073CD
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\diagnostics\benchmark_loss_micro.py,file,4697,4.59 KiB,BBFCF1387816AF03C380D290A4FCD6670ABB89E5054F3559ACFBDA3FAF0BEAF2
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\diagnostics\monitor_telemetry.py,file,2531,2.47 KiB,9AC94D08A997ECAF8562DDE3951742A60146DE6A9C4F58F207ACFB479092B863
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\diagnostics\run_telemetry_short.sh,file,1218,1.19 KiB,E9DB5975425A3ACA2422A0DF760D5C2D8C880A784D978669F957194391CBAC5E
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\diagnostics\audit_smoke_artifacts.py,file,1767,1.73 KiB,3AC9FEDDE66154AD5213091B05EEB57C2912CB40C4E72FA29BADD4D5CECF64E9
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\diagnostics\final_local_check.py,file,3335,3.26 KiB,B3E6860103C9EC142C75BABB4D7AADD8146605C9010DDB451DEA2117074A00ED
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\train\run_fig4_seed42.ps1,file,2272,2.22 KiB,AD837E3BD754DF263C894AC854F5EFE44E32988EFB47D559FE21D86FA295830C
D:\Desktop\my_project\paper_reproduction\DPPO\logs\gym-finetune\hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10\2026-09-11_12-55-49_42,directory aggregate,9977454,9.51 MiB,
D:\Desktop\my_project\paper_reproduction\DPPO\logs\gym-finetune\hopper-medium-v2_idql_diffusion_mlp_ta4_td20\2026-09-11_12-57-38_42,directory aggregate,9974921,9.51 MiB,
D:\Desktop\my_project\paper_reproduction\DPPO\logs\gym-finetune\hopper-medium-v2_dipo_diffusion_mlp_ta4_td20\2026-09-11_13-00-36_42,directory aggregate,13323367,12.71 MiB,
D:\Desktop\my_project\paper_reproduction\DPPO\reports\FIG4_HOPPER_METHOD_BENCHMARK.md,file,7238,7.07 KiB,823330C42006F9A5FB7E60D4F81AB2B706F16FBEDA60A890A1186D42B3D93E5F
D:\Desktop\my_project\paper_reproduction\DPPO\reports\RUN_LOG.md,file,3014,2.94 KiB,1E197C88E05F779EA3AF3268C8841B72EDDD720F8852B411364AE7F519E5E474
D:\Desktop\my_project\paper_reproduction\DPPO\reports\BENCHMARK_TIMING_INSTRUMENTATION.diff,file,7062,6.90 KiB,101820459BFF09F5A02E8D6FD7ACD135E5A72F4D24359F399E049D4E26213BAB
D:\Desktop\my_project\paper_reproduction\DPPO\reports\dppo_hopper_benchmark_stdout.log,file,21370,20.87 KiB,173EFB24FF9108D6429E07338CA0A7CEE74929696C9A251A9FE287FB47CE936F
D:\Desktop\my_project\paper_reproduction\DPPO\reports\idql_hopper_benchmark_stdout.log,file,9695,9.47 KiB,5C643F5D7153E5C839F5E8B1B0B0F4F2E6E1EED43BFA1560307B29BA602EF75A
D:\Desktop\my_project\paper_reproduction\DPPO\reports\dipo_hopper_benchmark_stdout.log,file,9790,9.56 KiB,CCA83F1DE93314FF11F8DA115F79023435F9BF740BB5920EB60431B3A6D22017
D:\Desktop\my_project\paper_reproduction\DPPO\reports\telemetry_dppo_hopper_benchmark.csv,file,5667,5.53 KiB,0A214D3AC8AB668E12DE0E8CC0CDAE3BCBFDEBC0552CA5B8A6BD00F0A4D19432
D:\Desktop\my_project\paper_reproduction\DPPO\reports\telemetry_idql_hopper_benchmark.csv,file,9207,8.99 KiB,F8232FFF327C22EF30EFCC780769D4CD5DC431351E735CE260352D5C45FE63CF
D:\Desktop\my_project\paper_reproduction\DPPO\reports\telemetry_dipo_hopper_benchmark.csv,file,10187,9.95 KiB,9BC7385D5DBE1119579F50340060C7A209AFD9669301288D3670C34A0BBD82F4
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\diagnostics\run_hopper_method_benchmark.sh,file,2176,2.12 KiB,926C6D50F14AFD2DD35863AB629B412DF4D50ACC792213BA272EB3E18C08CBC1
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\setup\apply_performance_patch.ps1,file,1115,1.09 KiB,6843EB6F24D06087B9726715FE1F234228587DD32A6EAD1BF628A57D551DF1A7
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\setup\apply_performance_patch.sh,file,834,834 B,64A95EDE4C88CC7D391EA11AC43736DC7410823872EEF71BEBABEA5650275DDB
D:\Desktop\my_project\paper_reproduction\DPPO\reports\DPPO_BENCHMARK_TIMING_INSTRUMENTATION.diff,file,1653,1.61 KiB,F33F5EAE224CD2B7CF33A046A0DDB3CFFAE0C01872DB2A8F72758D2BAFD8A514
D:\Desktop\my_project\paper_reproduction\DPPO\reports\performance_patch_numerical_equivalence.json,file,869,869 B,8A6FCAFC1E0839935F2C62E224DDD38DF550A0016B4EABB84140DBC3C0EDC369
D:\Desktop\my_project\paper_reproduction\DPPO\reports\PERFORMANCE_PATCH.diff,file,939,939 B,D21A51B20BEBDCC911B1F4357F17AC2CF13A034339DE64BE100944C68FCB8C24
D:\Desktop\my_project\paper_reproduction\DPPO\reports\PERFORMANCE_DIAGNOSIS.md,file,11490,11.22 KiB,CB90E83CDD169035684E2101EA3697E70100062FC18CAF7E45346DCF919AB4FE
D:\Desktop\my_project\paper_reproduction\DPPO\README.md,file,3538,3.45 KiB,38FDB6FFD9136BF3F77C40AA44E54AF4404C220CD9A1766F34B4863B5DAA1398
D:\Desktop\my_project\paper_reproduction\DPPO\scripts\setup\apply_performance_patch.ps1,file,1306,1.28 KiB,4B387BC63D61DA269C97D902AC77F488D1744F50AD13B0F5F2EA0BDE0E47A270
